complaint_id,customer_id,order_id,complaint_text,complaint_date,fraud_score,fraud_classification,refund_applicable,fraud_reason,Issue_Type,Issue_Severity,Sentiment,Urgency,Computed_Fraud_Score,Computed_Fraud_Class,Computed_Refund_Applicable,Computed_Fraud_Reason
CMP-001,C-001,O-001,My Sony headphones stopped working completely within 2 days need refund,2026-04-01,5,Legitimate,Yes,Severe defect,Device not working,High,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-195,C-001,O-195,earbuds not working properly,2026-04-20,7,Legitimate,Yes,Hardware issue,Device not working,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-196,C-001,O-196,earbuds ok but meh,2026-04-20,14,Fraud,No,Low severity,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-219,C-001,O-219,feels cheap compared to pictures,2026-04-22,18,Fraud,No,Expectation mismatch,Other,Low,Neutral,Normal,33,Fraud,No,Frequent Abuser
CMP-319,C-001,O-319,this isnt what i saw online,2026-05-02,88,Fraud,No,Unverified mismatch,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-002,C-002,O-002,Laptop screen is completely black not turning on at all,2026-04-01,6,Legitimate,Yes,Severe defect,Screen damage,High,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-111,C-002,O-111,phone dead after update,2026-04-12,7,Legitimate,Yes,Software issue,Device not working,High,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-112,C-002,O-112,i dont like this color anymore,2026-04-12,18,Fraud,No,Change of mind,Other,Low,Negative,Normal,18,Fraud,No,Change of mind
CMP-210,C-002,O-210,this is not exactly what i thought it would be,2026-04-21,20,Fraud,No,Change of mind,Other,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-310,C-002,O-310,not satisfied overall,2026-05-01,21,Fraud,No,Vague complaint,Other,Low,Negative,Normal,47,Fraud,No,Frequent Abuser
CMP-409,C-002,O-448,this is not same as shown online,2026-05-11,88,Fraud,No,Unverified mismatch,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-461,C-002,O-782,device not connecting wifi properly,2026-05-17,6,Legitimate,Yes,Connectivity issue,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-003,C-003,O-003,Battery exploded while charging this is dangerous 😡,2026-04-01,4,Legitimate,Yes,Severe defect,Battery issue,High,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-145,C-003,O-145,mouse not detected at all,2026-04-15,6,Legitimate,Yes,Hardware issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-146,C-003,O-146,mouse slightly slow nothing major,2026-04-15,14,Fraud,No,Low severity,Performance issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-201,C-003,O-201,phone randomly shuts down even when battery is full,2026-04-21,7,Legitimate,Yes,System issue,Battery issue,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-301,C-003,O-301,device restarting frequently,2026-05-01,7,Legitimate,Yes,System issue,Device not working,Medium,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-435,C-003,O-610,sound distortion while playing music,2026-05-14,6,Legitimate,Yes,Audio issue,Other,Low,Positive,Normal,31,Fraud,No,Frequent Abuser
CMP-487,C-003,O-682,box had marks inside,2026-05-19,94,Fraud,No,Switcheroo suspected,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-004,C-004,O-004,Phone is dead on arrival not powering on,2026-04-01,5,Legitimate,Yes,Severe defect,Device not working,High,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-292,C-004,O-292,screen brightness fluctuating randomly,2026-04-30,7,Legitimate,Yes,Display issue,Screen damage,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-392,C-004,O-392,screen brightness issue,2026-05-10,7,Legitimate,Yes,Display issue,Screen damage,Low,Positive,Normal,22,Fraud,No,Vague complaint
CMP-401,C-004,O-401,phone not turning on after charging overnight,2026-05-11,6,Legitimate,Yes,Severe defect,Battery issue,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-444,C-004,O-667,mouse pointer lagging randomly,2026-05-15,7,Legitimate,Yes,Hardware issue,Performance issue,Low,Negative,Normal,31,Fraud,No,Frequent Abuser
CMP-005,C-005,O-005,Earbuds only work on one side defective unit,2026-04-01,7,Legitimate,Yes,Hardware defect,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-101,C-005,O-101,phone stopped working after 3 days need help,2026-04-11,6,Legitimate,Yes,Hardware defect,Device not working,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-102,C-005,O-102,screen flickering sometimes but usable,2026-04-11,14,Fraud,No,Low severity,Screen damage,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-283,C-005,O-283,screen has faint horizontal lines,2026-04-29,7,Legitimate,Yes,Display issue,Screen damage,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-383,C-005,O-383,screen showing lines,2026-05-09,7,Legitimate,Yes,Display issue,Screen damage,Low,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-453,C-005,O-726,screen showing horizontal lines,2026-05-16,7,Legitimate,Yes,Display issue,Screen damage,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-006,C-006,O-006,Tablet display cracked inside the box itself,2026-04-01,6,Legitimate,Yes,Physical damage,Screen damage,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-179,C-006,O-179,network not working,2026-04-18,6,Legitimate,Yes,Connectivity issue,Device not working,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-180,C-006,O-180,device ok but refund needed,2026-04-18,20,Fraud,No,Invalid request,Other,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-274,C-006,O-274,mouse not working on certain surfaces,2026-04-28,6,Legitimate,Yes,Hardware issue,Device not working,Low,Negative,Normal,21,Fraud,No,Frequent Abuser
CMP-374,C-006,O-374,mouse not responding properly,2026-05-08,7,Legitimate,Yes,Hardware issue,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-496,C-006,O-798,ok,2026-05-20,22,Fraud,No,Vague complaint,Other,Low,Positive,Normal,47,Fraud,No,Frequent Abuser
CMP-007,C-007,O-007,Monitor showing only blank screen,2026-04-01,7,Legitimate,Yes,Display defect,Screen damage,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-265,C-007,O-265,audio cuts during calls randomly,2026-04-27,6,Legitimate,Yes,Audio issue,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-365,C-007,O-365,audio cuts randomly,2026-05-07,6,Legitimate,Yes,Audio issue,Other,Low,Negative,Normal,22,Fraud,No,Vague complaint
CMP-418,C-007,O-502,expected better quality honestly,2026-05-12,18,Fraud,No,Expectation mismatch,Other,Low,Positive,Normal,33,Fraud,No,Frequent Abuser
CMP-470,C-007,O-458,works fine but refund pls,2026-05-17,20,Fraud,No,Invalid request,Other,Low,Positive,Normal,31,Fraud,No,Frequent Abuser
CMP-008,C-008,O-008,Keyboard keys not responding at all,2026-04-01,6,Legitimate,Yes,Hardware defect,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-129,C-008,O-129,tablet screen frozen completely,2026-04-13,7,Legitimate,Yes,Display issue,Screen damage,High,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-130,C-008,O-130,wrong product again 😡 unacceptable,2026-04-13,92,Fraud,No,Unverified mismatch,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-256,C-008,O-256,not good,2026-04-26,22,Fraud,No,Vague complaint,Other,Low,Negative,Normal,37,Fraud,No,Frequent Abuser
