complaint_text,label,severity
The Anker PowerCore 20000 home button is slightly stiff but still clicks properly.,0,MEDIUM_OR_LOW
The Samsung Galaxy Watch 5 is physically destroyed. Could not use it even one day.,1,HIGH
The Asus ROG Strix G15 Laptop stopped working entirely. I cannot use it for anything now.,1,HIGH
My JBL Tune 760NC Headphones overheats frequently. It is warm even when idle.,0,MEDIUM_OR_LOW
Minor audio imbalance on the Bose QuietComfort 45. One side is slightly louder.,0,MEDIUM_OR_LOW
There is a minor delay when typing on my JBL Tune 760NC Headphones.,0,MEDIUM_OR_LOW
Received a Sony WH-1000XM5 Headphones with a shattered screen. Cannot use it at all.,1,HIGH
My JBL Flip 6 Speaker spontaneously stopped working. Nothing turns on.,1,HIGH
My Corsair K70 RGB Keyboard Bluetooth is unstable and disconnects without warning.,0,MEDIUM_OR_LOW
Screen is badly cracked on my new OnePlus Nord CE 3. No way to operate it.,1,HIGH
The Bose QuietComfort 45 runs very hot all the time. Overheating is a serious problem.,0,MEDIUM_OR_LOW
"The Apple AirPods Pro 2 won't power on at all. No lights, no response.",1,HIGH
The Logitech MX Master 3S Mouse was delivered cracked and completely non-functional.,1,HIGH
"The OnePlus Nord CE 3 died completely after 3 days of use. No charging, no response.",1,HIGH
My Dell Inspiron 15 Laptop camera produces distorted images. Cannot use the camera at all.,0,MEDIUM_OR_LOW
The OnePlus Nord CE 3 battery drains very fast. It barely lasts 2 hours.,0,MEDIUM_OR_LOW
The Sony WH-1000XM5 Headphones keeps disconnecting from WiFi unexpectedly. Very frustrating.,0,MEDIUM_OR_LOW
The Razer Viper Mini Mouse occasionally shows a brief flicker on startup. Very rare.,0,MEDIUM_OR_LOW
"The iPhone 14 box was slightly dented, but the product itself is fine.",0,MEDIUM_OR_LOW
The Logitech MX Master 3S Mouse display brightness flickers very briefly occasionally.,0,MEDIUM_OR_LOW
The Asus ROG Strix G15 Laptop battery drains very fast. It barely lasts 2 hours.,0,MEDIUM_OR_LOW
Severe damage to my Samsung Galaxy S23. The screen is shattered and won't turn on.,1,HIGH
WiFi keeps dropping on my Logitech MX Master 3S Mouse. Have to reconnect every 15 minutes.,0,MEDIUM_OR_LOW
Bluetooth disconnects every few minutes on my Sony WH-1000XM5 Headphones. Unusable for calls.,0,MEDIUM_OR_LOW
The Logitech MX Master 3S Mouse is completely dead and cannot be repaired. Hardware failure.,1,HIGH
My Corsair K70 RGB Keyboard camera produces distorted images. Cannot use the camera at all.,0,MEDIUM_OR_LOW
The Anker PowerCore 20000 home button is slightly stiff but still clicks properly.,0,MEDIUM_OR_LOW
The Asus ROG Strix G15 Laptop is physically destroyed. Could not use it even one day.,1,HIGH
The iPhone 14 sometimes has a very minor echo on calls. Barely noticeable.,0,MEDIUM_OR_LOW
The Dell Inspiron 15 Laptop drops Bluetooth intermittently. I have to reconnect every time.,0,MEDIUM_OR_LOW
The Logitech MX Master 3S Mouse has a tiny mark on the screen protector. Nothing major.,0,MEDIUM_OR_LOW
My Galaxy Tab S9 is continuously restarting. Very difficult to use.,0,MEDIUM_OR_LOW
The Apple AirPods Pro 2 has a massive crack across the display. Completely unusable.,1,HIGH
The iPad Air is completely dead and cannot be repaired. Hardware failure.,1,HIGH
The iPhone 14 camera is blurry all the time. Every photo is out of focus.,0,MEDIUM_OR_LOW
The Corsair K70 RGB Keyboard has a severe hardware failure. It is entirely non-functional.,1,HIGH
Minor audio imbalance on the Apple AirPods Pro 2. One side is slightly louder.,0,MEDIUM_OR_LOW
My Samsung Galaxy S23 is completely unresponsive. It is dead and will not start.,1,HIGH
The Corsair K70 RGB Keyboard battery health is very bad. Charging does not hold.,0,MEDIUM_OR_LOW
"The Bose QuietComfort 45 won't power on at all. No lights, no response.",1,HIGH
