complaint_id,complaint_text,Ground_Truth,POS_Predicted,POS_Correct,DP_Predicted,DP_Correct,Agreement
CMP-001,My Sony headphones stopped working completely within 2 days need refund,Legitimate,Legitimate,True,Legitimate,True,Both Correct
CMP-195,earbuds not working properly,Legitimate,Legitimate,True,Legitimate,True,Both Correct
CMP-196,earbuds ok but meh,Fraud,Legitimate,False,Legitimate,False,Both Wrong
CMP-219,feels cheap compared to pictures,Fraud,Fraud,True,Fraud,True,Both Correct
CMP-319,this isnt what i saw online,Fraud,Fraud,True,Fraud,True,Both Correct
CMP-002,Laptop screen is completely black not turning on at all,Legitimate,Legitimate,True,Legitimate,True,Both Correct
CMP-111,phone dead after update,Legitimate,Legitimate,True,Legitimate,True,Both Correct
CMP-112,i dont like this color anymore,Fraud,Legitimate,False,Legitimate,False,Both Wrong
CMP-210,this is not exactly what i thought it would be,Fraud,Fraud,True,Fraud,True,Both Correct
CMP-310,not satisfied overall,Fraud,Fraud,True,Fraud,True,Both Correct
CMP-409,this is not same as shown online,Fraud,Fraud,True,Fraud,True,Both Correct
CMP-461,device not connecting wifi properly,Legitimate,Fraud,False,Fraud,False,Both Wrong
CMP-003,Battery exploded while charging this is dangerous 😡,Legitimate,Legitimate,True,Legitimate,True,Both Correct
CMP-145,mouse not detected at all,Legitimate,Legitimate,True,Legitimate,True,Both Correct
CMP-146,mouse slightly slow nothing major,Fraud,Legitimate,False,Legitimate,False,Both Wrong
CMP-201,phone randomly shuts down even when battery is full,Legitimate,Fraud,False,Fraud,False,Both Wrong
CMP-301,device restarting frequently,Legitimate,Fraud,False,Fraud,False,Both Wrong
CMP-435,sound distortion while playing music,Legitimate,Fraud,False,Fraud,False,Both Wrong
CMP-487,box had marks inside,Fraud,Fraud,True,Fraud,True,Both Correct
CMP-004,Phone is dead on arrival not powering on,Legitimate,Legitimate,True,Legitimate,True,Both Correct
CMP-292,screen brightness fluctuating randomly,Legitimate,Legitimate,True,Legitimate,True,Both Correct
CMP-392,screen brightness issue,Legitimate,Legitimate,True,Legitimate,True,Both Correct
CMP-401,phone not turning on after charging overnight,Legitimate,Fraud,False,Fraud,False,Both Wrong
CMP-444,mouse pointer lagging randomly,Legitimate,Fraud,False,Fraud,False,Both Wrong
CMP-005,Earbuds only work on one side defective unit,Legitimate,Legitimate,True,Legitimate,True,Both Correct
CMP-101,phone stopped working after 3 days need help,Legitimate,Legitimate,True,Legitimate,True,Both Correct
