complaint_text,label,severity,sentiment,urgency,issue_type,issue_name
The Anker PowerCore 20000 home button is slightly stiff but still clicks properly.,0,1,-0.1071,0,3,connectivity
The Samsung Galaxy Watch 5 is physically destroyed. Could not use it even one day.,1,3,0.0,0,4,hardware
The Asus ROG Strix G15 Laptop stopped working entirely. I cannot use it for anything now.,1,3,0.0,0,4,hardware
My JBL Tune 760NC Headphones overheats frequently. It is warm even when idle.,0,2,0.6,0,1,battery
Minor audio imbalance on the Bose QuietComfort 45. One side is slightly louder.,0,1,-0.1083,0,1,battery
There is a minor delay when typing on my JBL Tune 760NC Headphones.,0,1,-0.05,0,1,battery
Received a Sony WH-1000XM5 Headphones with a shattered screen. Cannot use it at all.,1,3,0.0,0,4,hardware
My JBL Flip 6 Speaker spontaneously stopped working. Nothing turns on.,1,3,0.6,0,4,hardware
My Corsair K70 RGB Keyboard Bluetooth is unstable and disconnects without warning.,0,2,0.0,0,1,battery
Screen is badly cracked on my new OnePlus Nord CE 3. No way to operate it.,1,3,-0.2818,0,4,hardware
The Bose QuietComfort 45 runs very hot all the time. Overheating is a serious problem.,0,2,-0.0042,0,1,battery
"The Apple AirPods Pro 2 won't power on at all. No lights, no response.",1,3,0.0,0,4,hardware
The Logitech MX Master 3S Mouse was delivered cracked and completely non-functional.,1,3,0.1,0,4,hardware
"The OnePlus Nord CE 3 died completely after 3 days of use. No charging, no response.",1,3,0.1,0,4,hardware
My Dell Inspiron 15 Laptop camera produces distorted images. Cannot use the camera at all.,0,3,0.0,0,1,battery
The OnePlus Nord CE 3 battery drains very fast. It barely lasts 2 hours.,0,2,0.155,0,1,battery
The Sony WH-1000XM5 Headphones keeps disconnecting from WiFi unexpectedly. Very frustrating.,0,3,-0.52,0,1,battery
The Razer Viper Mini Mouse occasionally shows a brief flicker on startup. Very rare.,0,3,0.13,0,4,hardware
"The iPhone 14 box was slightly dented, but the product itself is fine.",0,3,0.125,0,1,battery
The Logitech MX Master 3S Mouse display brightness flickers very briefly occasionally.,0,3,0.0,0,0,screen
The Asus ROG Strix G15 Laptop battery drains very fast. It barely lasts 2 hours.,0,2,0.155,0,1,battery
Severe damage to my Samsung Galaxy S23. The screen is shattered and won't turn on.,1,3,0.0,0,4,hardware
WiFi keeps dropping on my Logitech MX Master 3S Mouse. Have to reconnect every 15 minutes.,0,3,0.0,0,4,hardware
Bluetooth disconnects every few minutes on my Sony WH-1000XM5 Headphones. Unusable for calls.,0,3,-0.2,0,4,hardware
The Logitech MX Master 3S Mouse is completely dead and cannot be repaired. Hardware failure.,1,3,-0.2583,0,4,hardware
My Corsair K70 RGB Keyboard camera produces distorted images. Cannot use the camera at all.,0,3,0.0,0,1,battery
The Anker PowerCore 20000 home button is slightly stiff but still clicks properly.,0,1,-0.1071,0,3,connectivity
The Asus ROG Strix G15 Laptop is physically destroyed. Could not use it even one day.,1,3,0.0,0,4,hardware
The iPhone 14 sometimes has a very minor echo on calls. Barely noticeable.,0,3,-0.0075,0,1,battery
The Dell Inspiron 15 Laptop drops Bluetooth intermittently. I have to reconnect every time.,0,3,0.0,0,4,hardware
The Logitech MX Master 3S Mouse has a tiny mark on the screen protector. Nothing major.,0,3,0.0312,0,4,hardware
My Galaxy Tab S9 is continuously restarting. Very difficult to use.,0,3,-0.65,0,4,hardware
The Apple AirPods Pro 2 has a massive crack across the display. Completely unusable.,1,3,0.05,0,4,hardware
The iPad Air is completely dead and cannot be repaired. Hardware failure.,1,3,-0.2583,0,4,hardware
The iPhone 14 camera is blurry all the time. Every photo is out of focus.,0,3,0.0,0,0,screen
The Corsair K70 RGB Keyboard has a severe hardware failure. It is entirely non-functional.,1,3,-0.1583,0,1,battery
Minor audio imbalance on the Apple AirPods Pro 2. One side is slightly louder.,0,1,-0.1083,0,1,battery
My Samsung Galaxy S23 is completely unresponsive. It is dead and will not start.,1,3,-0.05,0,4,hardware
The Corsair K70 RGB Keyboard battery health is very bad. Charging does not hold.,0,2,-0.91,0,1,battery
"The Bose QuietComfort 45 won't power on at all. No lights, no response.",1,3,0.0,0,4,hardware
The Razer Viper Mini Mouse casing is cracked and the internal components are exposed.,1,3,0.0,0,4,hardware
Screen is badly cracked on my new Dell UltraSharp 27 Monitor. No way to operate it.,1,3,-0.2818,0,4,hardware
The Asus ROG Strix G15 Laptop occasionally shows a brief flicker on startup. Very rare.,0,3,0.13,0,4,hardware
The OnePlus Nord CE 3 screen was cracked when I opened the package.,1,3,0.0,0,0,screen
My Galaxy Tab S9 freezes and then restarts unexpectedly. This is happening daily.,0,3,0.05,0,4,hardware
The Apple AirPods Pro 2 sometimes has a very minor echo on calls. Barely noticeable.,0,1,-0.0075,0,1,battery
The Apple AirPods Pro 2 fell apart within days. It is unusable now.,1,3,0.0,0,4,hardware
The Dell UltraSharp 27 Monitor has a very small scratch on the back. Barely visible.,0,3,-0.0917,0,4,hardware
The Corsair K70 RGB Keyboard charging port is slightly tight. Charges fine once connected.,0,2,0.119,0,1,battery
"The JBL Flip 6 Speaker died completely after 3 days of use. No charging, no response.",1,3,0.1,0,1,battery
WiFi keeps dropping on my Samsung Galaxy Watch 5. Have to reconnect every 15 minutes.,0,3,0.0,0,4,hardware
The Dell UltraSharp 27 Monitor display cracked on arrival. The device is totally broken.,1,3,-0.4,0,4,hardware
The JBL Tune 760NC Headphones has a very small scratch on the back. Barely visible.,0,3,-0.0917,0,4,hardware
The iPhone 14 occasionally shows a brief flicker on startup. Very rare.,0,3,0.13,0,4,hardware
There is a very slight colour tint on one corner of the Dell UltraSharp 27 Monitor screen.,0,1,-0.2167,0,0,screen
The Galaxy Tab S9 has a very small scratch on the back. Barely visible.,0,3,-0.0917,0,4,hardware
The Sony WH-1000XM5 Headphones is completely dead and cannot be repaired. Hardware failure.,1,3,-0.2583,0,1,battery
My Dell Inspiron 15 Laptop is completely unresponsive. It is dead and will not start.,1,3,-0.05,0,4,hardware
The Asus ROG Strix G15 Laptop battery drains very fast. It barely lasts 2 hours.,0,2,0.155,0,1,battery
The Razer Viper Mini Mouse disconnects from the network at least 5 times per hour.,0,3,-0.3,0,0,screen
